millis	xpos	ypos	sX	sY	dpX	dpY	red	green	blue	opacity	A1	A2	A3	A4	L1	R1	L2	R2	S1	S2	M1	M2	up	down	left	right	anlgX	anlgY	anlgU	anlgV	joy1_int	joy2_int
2866	725	438	162	677	327	40	73	244	71	147	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.17647064	0.0	-0.17647058	-0.12156862	8	-3
2916	252	375	162	677	327	40	73	244	71	147	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.0	0.30980396	-0.7254902	-0.46666664	34	-13
2966	596	469	162	677	327	40	73	244	71	147	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.0	0.24705887	-0.8117647	-0.52156866	37	-15
3016	515	404	162	677	327	40	73	244	71	147	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.88235295	-0.67058825	-0.8980392	-0.19215685	77	-36
3065	839	416	162	677	327	40	73	244	71	147	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.41960788	-1.0	-0.92941177	0.43529415	70	-69
3116	477	338	162	677	327	40	73	244	71	147	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	-1.0	-0.3960784	1.0	50	-70
3165	834	473	162	677	327	40	73	244	71	147	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.84313726	-1.0	0.45098042	1.0	7	-28
3216	288	374	162	677	327	40	73	244	71	147	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-1.0	-0.84313726	1.0	1.0	-8	0
3266	769	417	162	677	327	40	73	244	71	147	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-1.0	-0.2235294	1.0	0.96862745	-39	1
3316	331	455	162	677	327	40	73	244	71	147	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-1.0	0.5686275	0.36470592	0.17647064	-79	9
3365	550	349	162	677	327	40	73	244	71	147	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.30196077	0.13725495	0.0	0.0	-22	0
3415	670	390	162	677	327	40	73	244	71	147	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.1372549	0.0	0.0	0.0	-7	0
