millis	xpos	ypos	sX	sY	dpX	dpY	red	green	blue	opacity	A1	A2	A3	A4	L1	R1	L2	R2	S1	S2	M1	M2	up	down	left	right	anlgX	anlgY	anlgU	anlgV	joy1_int	joy2_int
171791	535	265	440	378	207	80	106	47	31	30	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0.21568632	0.0	0.0	0.0	10	0
171821	806	257	430	382	207	80	106	47	31	30	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0.32549024	-0.1607843	0.0	0.0	24	0
171858	674	378	419	389	207	80	106	47	31	30	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0.3411765	-0.23921567	0.0	0.0	29	0
171891	607	389	410	399	207	80	106	47	31	30	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0.28627455	-0.3333333	0.0	0.0	30	0
171924	452	430	404	409	207	80	106	47	31	30	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0.17647064	-0.3490196	0.0	0.0	26	0
172123	815	399	404	416	207	80	106	47	31	30	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0.105882406	-0.26274508	0.0	0.0	18	0
172157	744	261	393	430	207	80	106	47	31	30	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0.36470592	-0.4980392	0.0	0.0	43	0
172190	194	450	367	457	207	80	106	47	31	30	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0.8352941	-0.92941177	0.0	0.0	88	0
172224	823	356	337	487	207	80	106	47	31	30	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1.0	-1.0	0.0	0.0	100	0
172256	930	451	307	510	207	80	106	47	31	30	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1.0	-0.78039217	0.0	0.0	89	0
172290	625	408	277	523	207	80	106	47	31	30	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1.0	-0.4352941	0.0	0.0	71	0
172323	730	423	250	529	207	80	106	47	31	30	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0.88235295	-0.2235294	0.0	0.0	55	0
172455	418	290	232	536	207	80	106	47	31	30	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0.5921569	-0.23921567	0.0	0.0	41	0
172490	431	443	202	548	207	80	106	47	31	30	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1.0	-0.41960782	0.0	0.0	70	0
172523	745	405	172	567	207	80	106	47	31	30	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1.0	-0.6392157	0.0	0.0	81	0
172556	190	315	142	586	207	80	106	47	31	30	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1.0	-0.654902	0.0	0.0	82	0
172589	754	431	112	606	207	80	106	47	31	30	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1.0	-0.67058825	0.0	0.0	83	0
172623	994	408	82	631	207	80	106	47	31	30	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1.0	-0.84313726	0.0	0.0	92	0
172656	667	415	52	657	207	80	106	47	31	30	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1.0	-0.8980392	0.0	0.0	94	0
172688	1007	340	34	684	207	80	106	47	31	30	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0.6	-0.90588236	0.0	0.0	75	0
172722	853	249	23	707	207	80	106	47	31	30	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0.3411765	-0.79607844	0.0	0.0	56	0
172756	596	406	23	716	207	80	106	47	31	30	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0.0	-0.32549018	0.0	0.0	16	0
172788	630	486	23	721	207	80	106	47	31	30	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0.0	-0.19215685	0.0	0.0	9	0
172822	639	382	23	729	207	80	106	47	31	30	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0.0	-0.29411763	0.0	0.0	14	0
172855	732	411	23	739	207	80	106	47	31	30	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0.0	-0.36470586	0.0	0.0	18	0
172890	780	399	23	750	207	80	106	47	31	30	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0.0	-0.38039213	0.0	0.0	19	0
172922	402	249	23	760	207	80	106	47	31	30	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0.0	-0.3490196	0.0	0.0	17	0
172955	832	199	9	770	207	80	106	47	31	30	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0.43529415	-0.3333333	0.0	0.0	38	0
172988	660	319	1	781	207	80	106	47	31	30	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1.0	-0.38039213	0.0	0.0	69	0
173022	293	356	1	792	207	80	106	47	31	30	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1.0	-0.38823527	0.0	0.0	69	0
173055	708	284	1	803	207	80	106	47	31	30	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1.0	-0.38823527	0.0	0.0	69	0
173088	844	222	1	814	207	80	106	47	31	30	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1.0	-0.38823527	0.0	0.0	69	0
173121	319	426	1	825	207	80	106	47	31	30	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1.0	-0.38823527	0.0	0.0	69	0
173155	701	425	1	836	207	80	106	47	31	30	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1.0	-0.38823527	0.0	0.0	69	0
173188	599	282	1	850	207	80	106	47	31	30	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1.0	-0.46666664	0.0	0.0	73	0
173221	746	580	1	869	207	80	106	47	31	30	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1.0	-0.654902	0.0	0.0	82	0
173254	298	482	1	889	207	80	106	47	31	30	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1.0	-0.67058825	0.0	0.0	83	0
173290	429	506	1	909	207	80	106	47	31	30	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1.0	-0.67058825	0.0	0.0	83	0
173320	680	358	1	927	207	80	106	47	31	30	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1.0	-0.62352943	0.0	0.0	81	0
173354	861	548	1	941	207	80	106	47	31	30	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1.0	-0.46666664	0.0	0.0	73	0
173391	546	399	1	951	207	80	106	47	31	30	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1.0	-0.36470586	0.0	0.0	68	0
173421	556	366	1	959	207	80	106	47	31	30	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1.0	-0.29411763	0.0	0.0	64	0
173454	1249	313	1	967	207	80	106	47	31	30	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1.0	-0.29411763	0.0	0.0	64	0
173488	434	399	1	977	207	80	106	47	31	30	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0.70980394	-0.3333333	0.0	0.0	52	0
173520	868	350	1	986	207	80	106	47	31	30	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0.0	-0.30196077	0.0	0.0	15	0
173554	918	456	1	986	207	80	106	47	31	30	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	-0.10588235	-0.10588235	0.0	0.0	0	0
173589	704	474	15	986	207	80	106	47	31	30	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	-0.4980392	-0.12941176	0.0	0.0	-19	0
173624	888	417	41	992	207	80	106	47	31	30	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	-0.8745098	-0.21568626	0.0	0.0	-33	0
173655	569	445	71	999	207	80	106	47	31	30	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	-1.0	-0.47450978	0.0	0.0	-27	0
173690	576	434	101	999	207	80	106	47	31	30	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	-1.0	-0.8745098	0.0	0.0	-7	0
173720	578	424	131	999	207	80	106	47	31	30	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	-1.0	-1.0	0.0	0.0	0	0
173753	385	448	161	999	207	80	106	47	31	30	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	-1.0	-1.0	0.0	0.0	0	0
173791	533	412	191	999	207	80	106	47	31	30	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	-1.0	-0.96862745	0.0	0.0	-2	0
173820	963	489	221	999	207	80	106	47	31	30	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	-1.0	-0.827451	0.0	0.0	-9	0
173853	493	376	251	999	207	80	106	47	31	30	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	-1.0	-0.4980392	0.0	0.0	-26	0
173886	719	360	281	999	207	80	106	47	31	30	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	-1.0	-0.35686272	0.0	0.0	-33	0
173920	604	379	311	999	207	80	106	47	31	30	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	-1.0	-0.35686272	0.0	0.0	-33	0
173957	764	368	341	999	207	80	106	47	31	30	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	-1.0	-0.35686272	0.0	0.0	-33	0
173990	467	427	371	999	207	80	106	47	31	30	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	-1.0	-0.32549018	0.0	0.0	-34	0
174019	615	310	401	999	207	80	106	47	31	30	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	-1.0	-0.32549018	0.0	0.0	-34	0
174052	655	359	431	999	207	80	106	47	31	30	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	-1.0	-0.32549018	0.0	0.0	-34	0
174088	926	331	461	999	207	80	106	47	31	30	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	-1.0	-0.3960784	0.0	0.0	-31	0
174120	692	374	489	999	207	80	106	47	31	30	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	-0.9372549	-0.4352941	0.0	0.0	-26	0
174153	692	358	497	999	207	80	106	47	31	30	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	-0.27843136	-0.27843136	0.0	0.0	0	0
174191	769	438	497	999	207	80	106	47	31	30	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	-0.12941176	0.0	0.0	0.0	-7	0
174319	724	362	487	999	207	80	106	47	31	30	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0.30980396	-0.1372549	0.0	0.0	22	0
174358	444	430	475	999	207	80	106	47	31	30	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0.3803922	-0.1372549	0.0	0.0	25	0
174387	686	336	463	999	207	80	106	47	31	30	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0.39607847	0.0	0.0	0.0	19	0
174422	622	495	455	999	207	80	106	47	31	30	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0.23921573	0.13725495	0.0	0.0	5	0
174456	946	411	455	988	207	80	106	47	31	30	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0.0	0.3411765	0.0	0.0	-18	0
174487	502	298	461	967	207	80	106	47	31	30	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	-0.2235294	0.69411767	0.0	0.0	-46	0
174520	623	443	473	940	207	80	106	47	31	30	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	-0.41960782	0.8901961	0.0	0.0	-66	0
174557	513	390	489	910	207	80	106	47	31	30	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	-0.5529412	1.0	0.0	0.0	-78	0
174589	687	423	511	880	207	80	106	47	31	30	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	-0.7490196	1.0	0.0	0.0	-88	0
174624	461	482	541	850	207	80	106	47	31	30	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	-1.0	1.0	0.0	0.0	-100	0
174654	563	367	571	820	207	80	106	47	31	30	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	-1.0	0.9764706	0.0	0.0	-99	0
174688	660	343	601	793	207	80	106	47	31	30	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	-1.0	0.8745098	0.0	0.0	-94	0
174721	273	510	631	771	207	80	106	47	31	30	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	-1.0	0.73333335	0.0	0.0	-87	0
174753	727	281	661	749	207	80	106	47	31	30	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	-1.0	0.7019608	0.0	0.0	-86	0
174788	793	361	691	728	207	80	106	47	31	30	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	-1.0	0.69411767	0.0	0.0	-85	0
174823	740	448	704	710	207	80	106	47	31	30	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	-0.4352941	0.58431375	0.0	0.0	-51	0
174989	756	353	710	710	207	80	106	47	31	30	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	-0.19999999	0.0	0.0	0.0	-10	0
175021	575	331	720	710	207	80	106	47	31	30	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	-0.34117645	0.0	0.0	0.0	-18	0
175055	516	441	733	710	207	80	106	47	31	30	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	-0.4352941	0.0	0.0	0.0	-22	0
175088	630	528	746	700	207	80	106	47	31	30	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	-0.45098037	0.3176471	0.0	0.0	-39	0
175120	751	488	759	687	207	80	106	47	31	30	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	-0.45098037	0.41960788	0.0	0.0	-44	0
175156	95	389	769	673	207	80	106	47	31	30	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	-0.34117645	0.43529415	0.0	0.0	-39	0
175190	876	364	774	661	207	80	106	47	31	30	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	-0.16862744	0.3803922	0.0	0.0	-28	0
175222	605	289	774	651	207	80	106	47	31	30	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	-0.12941176	0.32549024	0.0	0.0	-23	0
175257	190	467	774	651	207	80	106	47	31	30	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	-0.12941176	0.0	0.0	0.0	-7	0
175290	760	347	774	651	207	80	106	47	31	30	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	-0.12941176	0.0	0.0	0.0	-7	0
175324	510	485	774	651	207	80	106	47	31	30	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	-0.12941176	0.0	0.0	0.0	-7	0
175357	743	441	774	651	207	80	106	47	31	30	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	-0.12941176	0.0	0.0	0.0	-7	0
175390	863	459	774	651	207	80	106	47	31	30	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	-0.12941176	0.0	0.0	0.0	-7	0
175419	683	474	774	651	207	80	106	47	31	30	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	-0.12941176	0.0	0.0	0.0	-7	0
175454	711	504	774	651	207	80	106	47	31	30	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	-0.12941176	0.0	0.0	0.0	-7	0
175489	740	398	732	698	207	80	106	47	31	30	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	-0.12941176	0.0	0.0	0.0	-7	0
175521	738	420	496	955	207	80	106	47	31	30	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	-0.12941176	0.0	0.0	0.0	-7	0
175554	152	380	496	246	207	80	106	47	31	30	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	-0.12941176	0.0	0.0	0.0	-7	0
175589	815	292	496	246	207	80	106	47	31	30	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	-0.12941176	0.0	0.0	0.0	-7	0
175624	810	368	496	246	207	80	106	47	31	30	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	-0.12941176	0.0	0.0	0.0	-7	0
