millis	xpos	ypos	sX	sY	dpX	dpY	red	green	blue	opacity	A1	A2	A3	A4	L1	R1	L2	R2	S1	S2	M1	M2	up	down	left	right	anlgX	anlgY	anlgU	anlgV	joy1_int	joy2_int
2622167	1280	762	999	999	400	400	255	0	255	255	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0.0	0.0	0.0	0.0	0	0
2625594	777	440	165	341	311	62	139	53	24	242	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0.0	-0.2235294	0.0	0	-12
2625627	647	455	165	341	311	62	139	53	24	242	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0.0	-0.31764704	0.0	0	-16
2625661	1092	345	165	341	311	62	139	53	24	242	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0.0	-0.38039213	0.0	0	-20
2625694	833	405	165	341	311	62	139	53	24	242	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0.0	-0.36470586	-0.10588235	0	-13
2625727	1000	374	165	341	311	62	139	53	24	242	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0.0	-0.29411763	-0.27058822	0	-2
2625761	235	425	165	341	311	62	139	53	24	242	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0.0	-0.27058822	-0.35686272	0	4
2625794	560	391	165	341	311	62	139	53	24	242	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0.0	-0.23137254	-0.36470586	0	6
2625827	955	455	165	341	311	62	139	53	24	242	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0.0	-0.1372549	-0.36470586	0	11
2625860	965	446	165	341	311	62	139	53	24	242	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0.0	0.0	-0.3098039	0	15
2625893	922	385	165	341	311	62	139	53	24	242	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0.0	0.0	-0.3098039	0	15
2625932	748	444	165	341	311	62	139	53	24	242	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0.0	0.30196083	-0.372549	0	33
2625960	72	339	165	341	311	62	139	53	24	242	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0.0	0.35686278	-0.3960784	0	37
2625994	1161	481	165	341	311	62	139	53	24	242	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0.0	0.56078434	-0.60784316	0	58
